timestamp,city,video_index,car,bus,truck,total
1759755528,Colorado,1,5,0,1,6
1759755530,Tokyo,0,10,0,0,10
1759755531,Roswell,3,1,0,0,1
1759755533,New York,2,0,2,1,3
1759755534,Tokyo,0,7,0,0,7
1759755536,Colorado,1,8,0,0,8
1759755537,New York,2,3,3,0,6
1759755540,Roswell,3,1,0,0,1
1759755540,Colorado,1,5,0,0,5
1759755543,Roswell,3,1,0,0,1
1759755543,Tokyo,0,7,0,0,7
1759755546,Tokyo,0,7,0,1,8
1759755547,New York,2,3,1,0,4
1759755549,New York,2,2,2,0,4
1759755550,Colorado,1,10,0,0,10
1759755552,Colorado,1,9,0,0,9
1759755553,Roswell,3,1,0,0,1
1759755554,Roswell,3,1,0,0,1
1759755556,Tokyo,0,2,0,0,2
1759755558,Tokyo,0,2,0,0,2
1759755560,New York,2,2,2,0,4
1759755561,New York,2,3,2,0,5
1759755564,Colorado,1,10,0,0,10
1759755564,Colorado,1,7,0,0,7
1759755567,Roswell,3,2,0,0,2
1759755567,Roswell,3,0,0,0,0
1759755570,Tokyo,0,9,0,0,9
1759755570,Tokyo,0,2,0,0,2
1759755573,New York,2,1,2,1,4
1759755574,New York,2,1,2,1,4
1759755576,Colorado,1,9,0,0,9
1759755577,Colorado,1,8,0,1,9
1759755579,Roswell,3,0,0,0,0
1759755581,Roswell,3,1,0,0,1
1759755582,Tokyo,0,14,0,0,14
1759755584,Tokyo,0,11,0,0,11
1759755586,New York,2,1,1,0,2
1759755588,New York,2,4,2,0,6
1759755589,Colorado,1,12,1,0,13
1759755592,Roswell,3,1,0,0,1
1759755592,Colorado,1,10,1,1,12
1759755595,Tokyo,0,10,0,0,10
1759755596,Roswell,3,1,0,0,1
1759755600,New York,2,1,0,1,2
1759755600,Tokyo,0,11,0,0,11
1759755603,Colorado,1,11,0,0,11
1759755604,New York,2,2,1,0,3
1759755607,Roswell,3,2,0,0,2
1759755609,Colorado,1,12,0,0,12
1759755611,Tokyo,0,6,0,1,7
1759755614,Roswell,3,1,0,0,1
1759755616,New York,2,0,1,0,1
1759755619,Tokyo,0,9,0,0,9
1759755620,Colorado,1,8,0,0,8
1759755623,Roswell,3,0,0,0,0
1759755623,New York,2,0,2,1,3
1759755628,Tokyo,0,9,0,0,9
1759755629,Colorado,1,6,0,1,7
1759755633,New York,2,2,1,0,3
1759755633,Roswell,3,1,0,0,1
1759755636,Colorado,1,6,0,0,6
1759755638,Tokyo,0,1,0,0,1
1759755640,Roswell,3,1,0,0,1
1759755642,New York,2,1,1,1,3
1759755643,Tokyo,0,2,0,0,2
1759755646,Colorado,1,6,0,0,6
1759755647,New York,2,1,1,1,3
1759755650,Roswell,3,2,0,0,2
1759755650,Colorado,1,4,0,1,5
1759755652,Roswell,3,2,0,0,2
1759755653,Tokyo,0,2,0,0,2
1759755655,Tokyo,0,2,0,0,2
1759755656,New York,2,2,1,1,4
1759755659,New York,2,1,1,0,2
1759755660,Colorado,1,4,0,0,4
1759755662,Colorado,1,5,0,0,5
1759755664,Roswell,3,1,0,1,2
1759755666,Roswell,3,1,0,0,1
1759755668,Tokyo,0,2,0,0,2
1759755670,Tokyo,0,2,0,0,2
1759755671,New York,2,2,1,0,3
1759755674,New York,2,2,2,2,6
1759755675,Colorado,1,4,0,0,4
1759755676,Colorado,1,4,0,0,4
1759755679,Roswell,3,1,0,0,1
1759755680,Roswell,3,1,0,0,1
